latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
50.625008,1.5416718,0.0,7200,Europe/Berlin,GMT+2

time,sea_surface_temperature (°C)
2026-04-18T14:00,12.1

time,sea_level_height_msl (m)
2026-04-18T00:00,3.63
2026-04-18T01:00,3.81
2026-04-18T02:00,3.00
2026-04-18T03:00,1.48
2026-04-18T04:00,-0.28
2026-04-18T05:00,-1.91
2026-04-18T06:00,-3.29
2026-04-18T07:00,-4.33
2026-04-18T08:00,-4.68
2026-04-18T09:00,-3.71
2026-04-18T10:00,-1.28
2026-04-18T11:00,1.59
2026-04-18T12:00,3.54
2026-04-18T13:00,4.10
2026-04-18T14:00,3.53
2026-04-18T15:00,2.17
2026-04-18T16:00,0.43
2026-04-18T17:00,-1.26
2026-04-18T18:00,-2.74
2026-04-18T19:00,-3.95
2026-04-18T20:00,-4.63
2026-04-18T21:00,-4.20
2026-04-18T22:00,-2.24
2026-04-18T23:00,0.67
2026-04-19T00:00,3.07
2026-04-19T01:00,4.05
2026-04-19T02:00,3.72
2026-04-19T03:00,2.50
2026-04-19T04:00,0.79
2026-04-19T05:00,-0.97
2026-04-19T06:00,-2.54
2026-04-19T07:00,-3.87
2026-04-19T08:00,-4.80
2026-04-19T09:00,-4.85
2026-04-19T10:00,-3.44
2026-04-19T11:00,-0.69
2026-04-19T12:00,2.10
2026-04-19T13:00,3.64
2026-04-19T14:00,3.72
2026-04-19T15:00,2.79
2026-04-19T16:00,1.30
2026-04-19T17:00,-0.37
2026-04-19T18:00,-1.91
2026-04-19T19:00,-3.25
2026-04-19T20:00,-4.28
2026-04-19T21:00,-4.67
2026-04-19T22:00,-3.82
2026-04-19T23:00,-1.48
2026-04-20T00:00,1.45
2026-04-20T01:00,3.47
2026-04-20T02:00,3.93
2026-04-20T03:00,3.20
2026-04-20T04:00,1.80
2026-04-20T05:00,0.14
2026-04-20T06:00,-1.47
2026-04-20T07:00,-2.88
2026-04-20T08:00,-4.06
2026-04-20T09:00,-4.75
2026-04-20T10:00,-4.44
2026-04-20T11:00,-2.66
2026-04-20T12:00,0.18
2026-04-20T13:00,2.65
2026-04-20T14:00,3.66
2026-04-20T15:00,3.29
2026-04-20T16:00,2.15
2026-04-20T17:00,0.65
2026-04-20T18:00,-0.87
2026-04-20T19:00,-2.25
2026-04-20T20:00,-3.44
2026-04-20T21:00,-4.29
2026-04-20T22:00,-4.39
2026-04-20T23:00,-3.21
2026-04-21T00:00,-0.74
2026-04-21T01:00,1.93
2026-04-21T02:00,3.43
2026-04-21T03:00,3.44
2026-04-21T04:00,2.50
2026-04-21T05:00,1.11
2026-04-21T06:00,-0.41
2026-04-21T07:00,-1.85
2026-04-21T08:00,-3.11
2026-04-21T09:00,-4.12
2026-04-21T10:00,-4.57
2026-04-21T11:00,-3.98
2026-04-21T12:00,-2.04
2026-04-21T13:00,0.62
2026-04-21T14:00,2.59
2026-04-21T15:00,3.11
2026-04-21T16:00,2.52
2026-04-21T17:00,1.40
2026-04-21T18:00,0.05
2026-04-21T19:00,-1.29
2026-04-21T20:00,-2.51
2026-04-21T21:00,-3.53
2026-04-21T22:00,-4.17
2026-04-21T23:00,-4.02
2026-04-22T00:00,-2.67
2026-04-22T01:00,-0.31
2026-04-22T02:00,1.92
2026-04-22T03:00,2.89
2026-04-22T04:00,2.61
2026-04-22T05:00,1.68
2026-04-22T06:00,0.46
2026-04-22T07:00,-0.84
2026-04-22T08:00,-2.06
2026-04-22T09:00,-3.12
2026-04-22T10:00,-3.88
2026-04-22T11:00,-4.08
2026-04-22T12:00,-3.31
2026-04-22T13:00,-1.40
2026-04-22T14:00,0.91
2026-04-22T15:00,2.38
2026-04-22T16:00,2.58
2026-04-22T17:00,1.98
2026-04-22T18:00,1.02
2026-04-22T19:00,-0.13
2026-04-22T20:00,-1.30
2026-04-22T21:00,-2.36
2026-04-22T22:00,-3.19
2026-04-22T23:00,-3.63
2026-04-23T00:00,-3.36
2026-04-23T01:00,-2.05
2026-04-23T02:00,0.02
2026-04-23T03:00,1.79
2026-04-23T04:00,2.42
2026-04-23T05:00,2.13
2026-04-23T06:00,1.39
2026-04-23T07:00,0.38
2026-04-23T08:00,-0.76
2026-04-23T09:00,-1.86
2026-04-23T10:00,-2.79
2026-04-23T11:00,-3.40
2026-04-23T12:00,-3.51
2026-04-23T13:00,-2.78
2026-04-23T14:00,-1.12
2026-04-23T15:00,0.77
2026-04-23T16:00,1.87
2026-04-23T17:00,2.01
2026-04-23T18:00,1.62
2026-04-23T19:00,0.92
2026-04-23T20:00,-0.05
2026-04-23T21:00,-1.10
2026-04-23T22:00,-2.04
2026-04-23T23:00,-2.75
2026-04-24T00:00,-3.10
2026-04-24T01:00,-2.88
2026-04-24T02:00,-1.79
2026-04-24T03:00,-0.08
2026-04-24T04:00,1.32
2026-04-24T05:00,1.85
2026-04-24T06:00,1.74
2026-04-24T07:00,1.28
2026-04-24T08:00,0.47
2026-04-24T09:00,-0.56
2026-04-24T10:00,-1.56
2026-04-24T11:00,-2.37
2026-04-24T12:00,-2.92
2026-04-24T13:00,-3.09
2026-04-24T14:00,-2.56
2026-04-24T15:00,-1.21
2026-04-24T16:00,0.33
2026-04-24T17:00,1.28
2026-04-24T18:00,1.58
2026-04-24T19:00,1.50
2026-04-24T20:00,1.01
2026-04-24T21:00,0.15
2026-04-24T22:00,-0.83
2026-04-24T23:00,-1.68
